modelo_equipamento,num_série_equipamento,Quant,des_nome_equipamento,des_categoria,num_potencia,des_potencia,Marca,Id_sala,Setor,num_andar,des_nome_generico_equipamento,idade_equipamento,observ,responsável pela contagem,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO CONSUL,Climatização,18000,BTU,CONSUL,SECRETARIA,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
E52645,,1,IMPRESSORA HP LASER JET MANAGED MFP E52645,Informática,780,W,HP,SECRETARIA,PROPG,7,Impressora,,"40W em standby, mas com impressão ativa gira em torno de 600w",CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,10,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,SECRETARIA,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,CURSOS LATO SENSU,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
P2419H,,4,MONITOR DELL P2419H,Informática,13.9,W,DELL,CURSOS LATO SENSU,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,4,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,CURSOS LATO SENSU,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
E52645,,1,IMPRESSORA HP LASER JET MANAGED MFP E52645,Informática,780,W,HP,CURSOS LATO SENSU,PROPG,7,Impressora,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO CARRIER,Climatização,12000,BTU,CARRIER,CURSOS LATO SENSU,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,28,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,CONTROLE DE RECURSOS - DCCR,PROPG,7,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,6,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,CONTROLE DE RECURSOS - DCCR,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
P2419H,,6,MONITOR DELL P2419H,Informática,13.9,W,DELL,CONTROLE DE RECURSOS - DCCR,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,18000,BTU,AGRATTO,CONTROLE DE RECURSOS - DCCR,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,1,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,DECOR,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
P2419H,,1,MONITOR DELL P2419H,Informática,13.9,W,DELL,DECOR,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO AGRATTO,Climatização,9000,BTU,AGRATTO,DECOR,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
